display_id,name,rarity,rarity_value,archetype,trend,frame,valor_brl,description,color_token,effect,contrast,hash
"KRV-001","Ghostfluênc","trash","15","Influência","22","default","0.5","Perdeu 10k seguidores num dia. Agora vende curso de ""como voltar ao topo"".","#6B6B6B","low","-7","df61cfdc4705"
"KRV-002","ScrollZumbi","trash","12","Preguiça","18","default","0.45","Rolou 4h sem parar. Esqueceu o que tava procurando.","#6B6B6B","low","-6","e1a4563ebe22"
"KRV-003","SkyMentira","trash","18","Informação","25","default","0.55","Espalha fake news no grupo da família. Acha que tá ""abrindo olhos"".","#6B6B6B","low","-7","49453f1336e3"
"KRV-004","VapeDev","trash","14","Consumo","20","default","0.48","Code bootcamp dropout. Agora vende curso de ""programação sem esforço"".","#6B6B6B","low","-6","f76305ec04ab"
"KRV-005","BetZeroum","trash","16","Ganância","23","default","0.52","Perdeu 2 salários em apostas. ""Estratégia falhou, mas vou recuperar"".","#6B6B6B","low","-7","5d48949db7b7"
"KRV-006","DropVoid","trash","13","Consumo","19","default","0.47","Dropshipping sem vendas. 50 produtos, 0 clientes.","#6B6B6B","low","-6","bc1a736ddcdb"
"KRV-007","RaivaTuite","trash","17","Impulso","24","default","0.54","Discute com desconhecidos 24/7. Energia: ódio gratuito.","#6B6B6B","low","-7","8954ca3a2165"
"KRV-008","FollowFake","trash","11","Influência","17","default","0.44","Comprou 10k seguidores. Engajamento: 3 likes.","#6B6B6B","low","-6","f6ea2467c936"
"KRV-009","ClipeCópia","trash","14","Preguiça","21","default","0.49","Repostou o mesmo meme 50 vezes. Acha que vai viralizar.","#6B6B6B","low","-7","a430a7ffef41"
"KRV-010","CriptoRekt","trash","19","Ganância","26","default","0.56","Investiu na moeda errada. Agora explica ""por que não era scam"".","#6B6B6B","low","-7","f365a8fc5f1a"
"KRV-011","PodcastVão","trash","12","Influência","18","default","0.46","30 episódios, 5 ouvintes. Temas: ""como escalar"" e ""mindset"".","#6B6B6B","low","-6","63a3ff2c9001"
"KRV-012","StoryFalso","trash","15","Consumo","22","default","0.51","Aluga carro pra fingir sucesso. 3 stories por dia de ""lifestyle"".","#6B6B6B","low","-7","6aeb53b3dcdd"
"KRV-013","LikeBot","trash","10","Impulso","16","default","0.42","Curtiu 1000 posts sem ler nenhum. Scroll automático.","#6B6B6B","low","-6","46ac9ebe6666"
"KRV-014","TrendLate","trash","13","Preguiça","20","default","0.48","Dança trend de 6 meses atrás. Acha que tá na vibe.","#6B6B6B","low","-7","76b3cc8eb97f"
"KRV-015","GrindGhost","trash","16","Ganância","23","default","0.53","Hustla 24/7 mas não ganha nada. ""Processo"" sem resultado.","#6B6B6B","low","-7","b8d4605533e4"
"KRV-016","ReelCringe","trash","14","Influência","21","default","0.49","Transição mal editada. Som atrasado. Posted anyway.","#6B6B6B","low","-7","9555e6b117a2"
"KRV-017","BioClichê","trash","11","Consumo","17","Viagem é vida ✈️","0.44","""CEO da própria vida 💪","#6B6B6B","low","-6","a71ae71540c9"
"KRV-018","MemeLixo","trash","12","Preguiça","19","default","0.47","Reposta meme de 2019. Sem contexto. 2 comentários: ""???"".","#6B6B6B","low","-7","361e705ae9c1"
"KRV-019","HypeZero","trash","15","Impulso","22","default","0.51","Anunciou projeto. Sumiu. Voltou 1 ano depois com ""coming soon"".","#6B6B6B","low","-7","2838a074a519"
"KRV-020","SpamLord","trash","13","Ganância","20","default","0.48","Envia DM com link de afiliado. Bloqueado 500 vezes.","#6B6B6B","low","-7","8ec8008557f8"
"KRV-021","CursoFail","trash","17","Ganância","24","default","0.54","Vende mentoria sem resultado. ""Mas os outros conseguiram"".","#6B6B6B","low","-7","cd4c79234cbb"
"KRV-022","TikFlopado","trash","14","Influência","21","default","0.49","50 vídeos postados. Melhor resultado: 73 views.","#6B6B6B","low","-7","81798e4d05aa"
"KRV-023","NFTOrfã","trash","18","Consumo","25","default","0.55","Comprou JPEG por 2 ETH. Valor atual: $12.","#6B6B6B","low","-7","f6f314a7173d"
"KRV-024","ThreadSeco","trash","12","Preguiça","18","default","0.46","Thread de 15 tweets. 1 like. Do próprio perfil.","#6B6B6B","low","-6","492b3c605280"
"KRV-025","PinEterno","trash","11","Impulso","17","default","0.44","Pinou tweet de 2 anos. Ninguém leu.","#6B6B6B","low","-6","dd0d65b79709"
"KRV-026","PlayViciado","trash","16","Preguiça","23","default","0.52","8h/dia de jogo. 0h de produtividade. ""Mas sou streamer"".","#6B6B6B","low","-7","df2963126703"
"KRV-027","GigEscrav","trash","19","Ganância","26","default","0.56","Entregador 12h/dia. Ganha menos que salário mínimo. ""Liberdade"".","#6B6B6B","low","-7","7198d20edcba"
"KRV-028","MetaGado","trash","13","Influência","20","default","0.48","Segue todo trend. Zero personalidade. Clone algorítmico.","#6B6B6B","low","-7","f4ede4d900eb"
"KRV-029","ResenhaBot","trash","10","Preguiça","16","default","0.42","Comenta ""Top!"" em 200 posts. Todos geridos por bot.","#6B6B6B","low","-6","993c927bf37a"
"KRV-030","FakeGuru","trash","15","Ganância","22","default","0.51","Vendeu curso. Conteúdo: print de artigo do Google.","#6B6B6B","low","-7","c11c70ae1ff7"
"KRV-031","DoomScroll","trash","14","Preguiça","21","default","0.49","4h diárias no feed. Absorveu: nada. Energia: drenada.","#6B6B6B","low","-7","144d25b45be0"
"KRV-032","BuzzVazio","trash","12","Informação","19","default","0.47","Clickbait master. Título: 🔥. Conteúdo: 404.","#6B6B6B","low","-7","f53cbbf27aa2"
"KRV-033","ImpulsoShop","trash","16","Consumo","23","default","0.53","Comprou 50 itens online. Usou 2. Resto: doação.","#6B6B6B","low","-7","c07e44f1d4a4"
"KRV-034","RageBait","trash","18","Impulso","25","default","0.55","Posta coisa polêmica só pra gerar rage. Comenta os ódios: lucro.","#6B6B6B","low","-7","47a046542d07"
"KRV-035","LurkShadow","trash","11","Preguiça","17","default","0.44","3 anos sem postar. Só stalkeando. Perfil privado.","#6B6B6B","low","-6","a7b779cd2e49"
"KRV-036","BioLink","trash","13","Ganância","20","default","0.48","Link na bio com 30 redirecionamentos. Tráfego: 0.","#6B6B6B","low","-7","d1db020f63d0"
"KRV-037","ViewFake","trash","15","Influência","22","default","0.51","Comprou views. Algoritmo detectou. Shadowbanned.","#6B6B6B","low","-7","95f3ced098d0"
"KRV-038","BolaEco","trash","14","Informação","21","default","0.49","Vive em bolha ideológica. Só segue quem concorda.","#6B6B6B","low","-7","f2d05f74ddd8"
"KRV-039","BurnZumbi","trash","17","Preguiça","24","default","0.54","Burnout fingido. Trabalha 2h/dia. Reclama 6h.","#6B6B6B","low","-7","6fe36fdeab6a"
