effect,contrast,rarity_value,rarity_icon,hash,name,trend,archetype,currency,value,description,frame,art
"low","-7","15","trash","df61cfdc4705","Ghostfluênc","22","Influência","BRL","0.5","Perdeu 10k seguidores num dia. Agora vende curso de ""como voltar ao topo"".","default","pending"
"low","-6","12","trash","e1a4563ebe22","ScrollZumbi","18","Preguiça","BRL","0.45","Rolou 4h sem parar. Esqueceu o que tava procurando.","default","pending"
"low","-7","18","trash","49453f1336e3","SkyMentira","25","Informação","BRL","0.55","Espalha fake news no grupo da família. Acha que tá ""abrindo olhos"".","default","pending"
"low","-6","14","trash","f76305ec04ab","VapeDev","20","Consumo","BRL","0.48","Code bootcamp dropout. Agora vende curso de ""programação sem esforço"".","default","pending"
"low","-7","16","trash","5d48949db7b7","BetZeroum","23","Ganância","BRL","0.52","Perdeu 2 salários em apostas. ""Estratégia falhou, mas vou recuperar"".","default","pending"
"low","-6","13","trash","bc1a736ddcdb","DropVoid","19","Consumo","BRL","0.47","Dropshipping sem vendas. 50 produtos, 0 clientes.","default","pending"
"low","-7","17","trash","8954ca3a2165","RaivaTuite","24","Impulso","BRL","0.54","Discute com desconhecidos 24/7. Energia: ódio gratuito.","default","pending"
"low","-6","11","trash","f6ea2467c936","FollowFake","17","Influência","BRL","0.44","Comprou 10k seguidores. Engajamento: 3 likes.","default","pending"
"low","-7","14","trash","a430a7ffef41","ClipeCópia","21","Preguiça","BRL","0.49","Repostou o mesmo meme 50 vezes. Acha que vai viralizar.","default","pending"
"low","-7","19","trash","f365a8fc5f1a","CriptoRekt","26","Ganância","BRL","0.56","Investiu na moeda errada. Agora explica ""por que não era scam"".","default","pending"
"low","-6","12","trash","63a3ff2c9001","PodcastVão","18","Influência","BRL","0.46","30 episódios, 5 ouvintes. Temas: ""como escalar"" e ""mindset"".","default","pending"
"low","-7","15","trash","6aeb53b3dcdd","StoryFalso","22","Consumo","BRL","0.51","Aluga carro pra fingir sucesso. 3 stories por dia de ""lifestyle"".","default","pending"
"low","-6","10","trash","46ac9ebe6666","LikeBot","16","Impulso","BRL","0.42","Curtiu 1000 posts sem ler nenhum. Scroll automático.","default","pending"
"low","-7","13","trash","76b3cc8eb97f","TrendLate","20","Preguiça","BRL","0.48","Dança trend de 6 meses atrás. Acha que tá na vibe.","default","pending"
