Booster #,Card #,Raridade,Modo Visual,Godmode?,Prêmio Godmode,Valor Reciclagem
1,1,trash,default,NÃO,-,R$ 0.0063
1,2,trash,neon,NÃO,-,R$ 0.0126
1,3,trash,default,NÃO,-,R$ 0.0063
1,4,meme,default,NÃO,-,R$ 0.0063
1,5,trash,neon,NÃO,-,R$ 0.0126
2,6,trash,default,NÃO,-,R$ 0.0063
2,7,trash,default,NÃO,-,R$ 0.0063
2,8,meme,neon,NÃO,-,R$ 0.0126
2,9,trash,neon,NÃO,-,R$ 0.0126
2,10,viral,default,NÃO,-,R$ 0.0063
3,11,trash,default,NÃO,-,R$ 0.0063
3,12,trash,neon,NÃO,-,R$ 0.0126
3,13,viral,neon,NÃO,-,R$ 0.0126
3,14,trash,default,NÃO,-,R$ 0.0063
3,15,meme,neon,NÃO,-,R$ 0.0126
4,16,trash,glow,NÃO,-,R$ 0.0189
4,17,trash,default,NÃO,-,R$ 0.0063
4,18,trash,default,NÃO,-,R$ 0.0063
4,19,trash,holo,NÃO,-,R$ 0.0504
4,20,meme,default,NÃO,-,R$ 0.0063
5,21,trash,default,NÃO,-,R$ 0.0063
5,22,trash,glitch,NÃO,-,R$ 0.0252
5,23,trash,default,NÃO,-,R$ 0.0063
5,24,meme,glitch,NÃO,-,R$ 0.0252
5,25,meme,default,NÃO,-,R$ 0.0063
6,26,meme,default,NÃO,-,R$ 0.0063
6,27,trash,default,NÃO,-,R$ 0.0063
6,28,meme,neon,NÃO,-,R$ 0.0126
6,29,trash,glitch,NÃO,-,R$ 0.0252
6,30,trash,default,NÃO,-,R$ 0.0063
7,31,trash,default,NÃO,-,R$ 0.0063
7,32,trash,default,NÃO,-,R$ 0.0063
7,33,meme,default,NÃO,-,R$ 0.0063
7,34,meme,neon,NÃO,-,R$ 0.0126
7,35,viral,neon,NÃO,-,R$ 0.0126
8,36,trash,default,NÃO,-,R$ 0.0063
8,37,trash,default,NÃO,-,R$ 0.0063
8,38,meme,ghost,NÃO,-,R$ 0.0378
8,39,trash,glow,NÃO,-,R$ 0.0189
8,40,trash,glow,NÃO,-,R$ 0.0189
9,41,trash,default,NÃO,-,R$ 0.0063
9,42,viral,glitch,NÃO,-,R$ 0.0252
9,43,trash,default,NÃO,-,R$ 0.0063
9,44,trash,default,NÃO,-,R$ 0.0063
9,45,trash,neon,NÃO,-,R$ 0.0126
10,46,trash,default,NÃO,-,R$ 0.0063
10,47,meme,default,NÃO,-,R$ 0.0063
10,48,meme,default,NÃO,-,R$ 0.0063
10,49,trash,neon,NÃO,-,R$ 0.0126
10,50,trash,default,NÃO,-,R$ 0.0063
11,51,trash,default,NÃO,-,R$ 0.0063
11,52,trash,glow,NÃO,-,R$ 0.0189
11,53,trash,default,NÃO,-,R$ 0.0063
11,54,viral,default,NÃO,-,R$ 0.0063
11,55,viral,glow,NÃO,-,R$ 0.0189
12,56,trash,default,NÃO,-,R$ 0.0063
12,57,trash,default,NÃO,-,R$ 0.0063
12,58,trash,default,NÃO,-,R$ 0.0063
12,59,meme,default,NÃO,-,R$ 0.0063
12,60,trash,default,NÃO,-,R$ 0.0063
13,61,meme,ghost,NÃO,-,R$ 0.0378
13,62,trash,default,NÃO,-,R$ 0.0063
